AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Richland,near,Brule Creek,BCKS2,River Stage/Flow Location,,42.761667,-96.674444,FSD,MBRFC,SD,Missouri Region,No,,1122,1125,1127,1130,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fsd&gage=bcks2,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,South Dakota DANR,Yes,No,N/A,N/A,N/A,NAVD88,0,0.00,,,,Union,America/Chicago
Dundee,near,Back Creek,BCKV2,River Stage/Flow Location,US02056650,37.227500,-79.868333,RNK,SERFC,VA,South Atlantic-Gulf Region,No,,10,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=bckv2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,822.67,,,,,Roanoke,America/New_York
Lewellen,near,Blue Creek (NE),BCLN1,River Stage/Flow Location,US06687000,41.337300,-102.1743,LBF,MBRFC,NE,Missouri Region,No,,5,5.5,7,8,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lbf&gage=bcln1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,Nebraska Dept of Natural Resources,No,No,N/A,N/A,N/A,NAVD88,3310.04,,,,,Garden,America/Denver
Colony Road,at,Briar Creek,BCLN7,River Stage/Flow Location,US0214645022,35.175278,-80.830833,GSP,SERFC,NC,South Atlantic-Gulf Region,No,,9,10,13,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bcln7,HGIRR,Yes,0 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,598.02,,,,,Mecklenburg,America/New_York
Buckeye Lake near Watkins Island,at,South Fork Licking River (OH),BCLO1,River Stage/Flow Location,US395540082291600,39.927778,-82.487778,ILN,OHRFC,OH,Ohio Region,No,0.0,892.2,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=bclo1,HPIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,0.0,,,Licking,America/New_York
Niagara,at,N Santiam River,BCLO3,River Stage/Flow Location,US14181500,44.753611,-122.297222,PQR,NWRFC,OR,Pacific Northwest Region,No,1093.78,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=bclo3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,1093.78,,1093.78,,,,America/Los_Angeles
Longs,near,Buck Creek,BCLS1,River Stage/Flow Location,US02110400,33.953333,-78.72,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bcls1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,,America/New_York
Beaver Creek Dam (HW) near Bristol 3ENE,above,Beaver Creek (VA),BCLV2,River Stage/Flow Location,,36.641667,-82.111389,MRX,LMRFC,VA,Tennessee Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=bclv2,HPIRG,Yes,,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,,America/New_York
Seven Hills,near,Big Creek (Al),BCMA1,River Stage/Flow Location,US02480020,30.639100,-88.393,MOB,LMRFC,AL,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bcma1,HGIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,,,,Mobile,America/Chicago
Middleburg,at,Black Creek,BCMF1,River Stage/Flow Location,US02246010,30.075833,-81.863889,JAX,SERFC,FL,South Atlantic-Gulf Region,No,-11.04,14,14.5,16.5,18.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=bcmf1,HGIRG,Yes,10.5 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,-12.12,-12.12,-11.04,,-12.87,Clay,America/New_York
Muskegon,near,Bear Creek,BCMM4,River Stage/Flow Location,US04122100,43.288625,-86.222838,GRR,NCRFC,MI,Great Lakes Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=bcmm4,HGIRZ,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,589.56,589.56 ft,,,,Muskegon,America/New_York
Chinook,near,Battle Creek (North-central MT),BCMM8,River Stage/Flow Location,US06151500,48.649444,-109.231667,TFX,MBRFC,MT,Missouri Region,No,,9,10,12,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=bcmm8,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,2410,,,,2410 ft,Blaine,America/Denver
SR2819 near McCleansville,at,North Buffalo Creek,BCMN7,Stage/Flow and Precipitation Location,US0209553650,36.128056,-79.661667,RAH,SERFC,NC,South Atlantic-Gulf Region,No,,14,17,20,22,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=bcmn7,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,647.49,647.49,,,,Guilford,America/New_York
Spillar Ranch Road,at,Bear Creek,BCMT2,River Stage/Flow Location,US08158813,30.163611,-97.906944,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bcmt2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,793.31,,,,Hays,America/Chicago
Hwy 41 near Brewton 1NW,at,Burnt Corn Creek,BCNA1,River Stage/Flow Location,US02374745,31.129722,-87.087222,MOB,SERFC,AL,South Atlantic-Gulf Region,No,,11,16,22,33,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=bcna1,HGIRG,Yes,-9999 Feet,High Water,Yes,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,75,,,,,Escambia,America/Chicago
Bonnet Carre North near Montz,at,Mississippi River,BCNL1,River Stage/Flow Location,,30.001944,-90.466111,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bcnl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U.S. Army Corps of Engineers,No,No,N/A,N/A,N/A,NAVD88,,,,,,St. Charles Parish,America/Chicago
Barkers Creek/Nash,,,BCNN7,Precipitation Location,,35.366389,-83.311389,GSP,LMRFC,NC,Tennessee Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bcnn7,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,Jackson,America/New_York
Needville,near,Big Creek,BCNT2,River Stage/Flow Location,US08115000,29.471908,-95.803007,HGX,WGRFC,TX,Texas-Gulf Region,No,,16,19,21,23,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=bcnt2,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD 1929,59.39,,,,NULL,Fort Bend,America/Chicago
Corinne,near,Bear River,BCNU1,River Stage/Flow Location,US10126000,41.576321,-112.100782,SLC,CBRFC,UT,Great Basin Region,No,,13.4,15.5,16,16.4,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=bcnu1,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,4206.78,4206.78,,,,Box Elder,America/Denver
Burke Centre Regional Pond,at,Unnamed Tributary,BCNV2,Stage/Flow and Precipitation Location,,38.785556,-77.295556,LWX,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=bcnv2,HPIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Fairfax,America/New_York
Newcastle,near,,BCNW4,River Stage/Flow Location,US06392950,43.858889,-104.106667,UNR,MBRFC,WY,Missouri Region,No,4460 ft,10,12.5,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=bcnw4,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,4460,,4460 ft,,,Weston,America/Denver
Ottumwa US 34,near,Bear Creek (South Central IA),BCOI4,Stage/Flow and Precipitation Location,US05489490,41.014458,-92.462409,DMX,NCRFC,IA,Upper Mississippi Region,No,,0,0,0,0,FT,MVR,https://water.weather.gov/ahps2/hydrograph.php?wfo=dmx&gage=bcoi4,HGIRV,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,,,,,,Wapello,America/Chicago
Oak Grove,near,Big Colewa Bayou,BCOL1,River Stage/Flow Location,,32.798889,-91.498889,JAN,LMRFC,LA,Lower Mississippi Region,No,0.00,90,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=bcol1,HGIRG,Yes,-9999 Feet,No routine,Yes,No,Yes,US Army Corps of Engineers,Yes,No,N/A,N/A,N/A,NGVD 1929,0,,0.00,,,West Carroll Parish,America/Chicago
Bonnet Carre Spillway,at,Lake Pontchartrain,BCPL1,River Stage/Flow Location,,30.055833,-90.372222,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bcpl1,,Yes,-9999 Feet,No routine,No,No,Yes,U. S. Army Corps of Engineers,No,No,N/A,N/A,N/A,NAVD88,,,,,,St. Charles Parish,America/Puerto_Rico
Bailey Camp,,,BCPN7,Precipitation Location,,36.093333,-81.634444,GSP,SERFC,NC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bcpn7,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Caldwell,America/New_York
Mt. Pisgah SC near Bethune SC,at,Buffalo Creek (SC),BCPS1,River Stage/Flow Location,US021313485,34.582222,-80.456944,CAE,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=bcps1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,349.50,,,,Kershaw,America/New_York
Peever,near,Coulee Creek,BCPS2,River Stage/Flow Location,US05289985,45.487500,-96.958056,ABR,NCRFC,SD,Upper Mississippi Region,No,,9,10,11,13,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=bcps2,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,1240,,,,1240 ft,,America/Chicago
Powell,near,Beaver Creek (TN),BCPT1,River Stage/Flow Location,,36.018333,-84.051667,MRX,LMRFC,TN,Tennessee Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=bcpt1,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,,America/New_York
Big Creek,,,BCRK2,Precipitation Location,,37.160095,-83.565093,JKL,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=bcrk2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Clay,America/New_York
Battle Creek,at,Battle Creek,BCRM4,River Stage/Flow Location,US04105000,42.331430,-85.153603,GRR,NCRFC,MI,Great Lakes Region,No,,3,4,5,6,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=bcrm4,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,822.81,822.81 ft,,,,Calhoun,America/New_York
Churchwell Road (Camp Dansler),at,Black Creek,BCRM6,River Stage/Flow Location,,31.115004,-89.296428,JAN,LMRFC,MS,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=bcrm6,HGIRP,Yes,-9999 Feet,Data Point,No,No,Yes,of the Forrest County EOC,Yes,No,N/A,N/A,N/A,,155.2,155.2,,,,Forrest,America/Chicago
Powers,at,Bean Creek,BCRO1,Stage/Flow and Precipitation Location,US04184500,41.659500,-84.2491,IWX,OHRFC,OH,Great Lakes Region,No,,12,15,18,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=bcro1,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,the USGS (04184500),Yes,No,N/A,N/A,N/A,NAVD88,709.43,709.43,,,,Fulton,America/New_York
Quinby,near,Black Creek (SC),BCRS1,River Stage/Flow Location,US02130980,34.243611,-79.745,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,7,10,15,18,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bcrs1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,,57.46,,,,170 ft,,America/New_York
Brady Creek Reservoir,at,West Central Texas Lakes,BCRT2,River Stage/Flow Location,US08144900,31.138056,-99.385278,SJT,WGRFC,TX,Texas-Gulf Region,No,,1743,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=bcrt2,HPIRG,Yes,,Data Point,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,,,,,,NULL,,America/Chicago
Back Creek Pulaski,,,BCRV2,Precipitation Location,,37.118933,-80.784292,RNK,OHRFC,VA,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=bcrv2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Pulaski,America/New_York
Tonasket,at,Bonaparte Creek,BCRW1,River Stage/Flow Location,US12444550,48.701200,-119.4428,OTX,NWRFC,WA,Pacific Northwest Region,No,920 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=bcrw1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geologic Survey,No,No,N/A,N/A,N/A,NGVD29,920,,920 ft,,,Okanogan,America/Los_Angeles
Shoals,near,Beaver Creek (IN),BCSI3,River Stage/Flow Location,US03373508,38.673056,-86.745,IND,OHRFC,IN,Ohio Region,No,466.54 ft,5,7,9,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=bcsi3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,466.54,,466.54 ft,,,Martin,America/New_York
Bonnel Carre near Norco,at,Mississippi River,BCSL1,River Stage/Flow Location,,29.997500,-90.424722,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bcsl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U. S. Army Corps of Engineers,No,No,N/A,N/A,N/A,NAVD88,,,,,,St. Charles Parish,America/Chicago
12 Mile Creek,above,Birch Creek,BCTA2,River Stage/Flow Location,US15392000,65.392500,-145.7125,PAFG,APRFC,AK,Alaska Region,No,1950,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg&gage=bcta2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,USDI Bureau of Land Management,No,No,N/A,N/A,N/A,NGVD29,1950,,1950,,,Fairbanks North Star Borough,America/Anchorage
Taft/nr Narcoosee 6NW,near,Boggy Creek,BCTF1,River Stage/Flow Location,US02262900,28.371111,-81.310833,MLB,SERFC,FL,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mlb&gage=bctf1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,Orange,America/Puerto_Rico
Troutdale,at,Beaver Creek,BCTO3,River Stage/Flow Location,US14142800,45.519167,-122.389167,PQR,NWRFC,OR,Pacific Northwest Region,No,195,9,10,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=bcto3,HGIRZ,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,195,,,Multnomah,America/Los_Angeles
Salt Lake City,near,Big Cottonwood Creek,BCTU1,River Stage/Flow Location,,40.618611,-111.781111,SLC,CBRFC,UT,Great Basin Region,No,,3.5,4.2,4.4,4.5,KCFS,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=bctu1,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NGVD 1929,4990,,,,,Salt Lake,America/Denver
Currie,near,Black River,BCUN7,Stage/Flow and Precipitation Location,,34.431389,-78.144167,ILM,SERFC,NC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bcun7,HGIRR,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Pender,America/New_York
Boca Reservoir,at,Little Truckee River,BCVC1,River Stage/Flow Location,US10344490,39.388796,-120.096309,REV,CNRFC,CA,Great Basin Region,No,,5604.5,5605,5606,5607,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rev&gage=bcvc1,HPIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD1929,0,,,,,Nevada,America/Los_Angeles
Vineland,near,Bonnet Creek,BCVF1,River Stage/Flow Location,US02264100,28.325000,-81.520833,MLB,SERFC,FL,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mlb&gage=bcvf1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,Osceola,America/New_York
Bat Cave,at,Rocky Broad River,BCVN7,Stage/Flow and Precipitation Location,,35.451389,-82.287222,GSP,SERFC,NC,South Atlantic-Gulf Region,No,,6,7.5,8.5,9.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=bcvn7,HGIRR,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,,1453,,,,,Henderson,America/New_York
Bacova,near,Jackson River,BCVV2,River Stage/Flow Location,US02011400,38.042222,-79.881667,RNK,MARFC,VA,Mid Atlantic Region,No,,8,10,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=bcvv2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,1639.07,1639.07,,,,Bath,America/New_York
Butcherville,at,West Fork River,BCVW2,River Stage/Flow Location,US03058500,39.090556,-80.4675,RLX,OHRFC,WV,Ohio Region,No,,12,16,18,19.3,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=bcvw2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,992.44,,,,993 ft,Lewis,America/New_York
Paulden,at,Big Chino Wash,BCWA3,River Stage/Flow Location,US09502830,34.870300,-112.47,FGZ,CBRFC,AZ,Lower Colorado Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=bcwa3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,4365,,,,,Yavapai,America/Phoenix
Waynesboro,near,Brier Creek,BCWG1,River Stage/Flow Location,US02197830,33.118056,-81.963889,CAE,SERFC,GA,South Atlantic-Gulf Region,No,,9,11,23,25,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=bcwg1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,173.78,,,,,Burke,America/New_York
Wilsons Weir nr Consul 12NNW,below,Battle Creek,BCWQ8,River Stage/Flow Location,,49.450278,-109.644167,TFX,MBRFC,MT,Missouri Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=bcwq8,HGIRG,Yes,0 Feet,No routine,No,No,Yes,Water Survey of Canada,No,No,N/A,N/A,N/A,,,,,,,,America/Chicago
Webberville Road,at,Boggy Creek,BCWT2,River Stage/Flow Location,US08158035,30.263056,-97.7125,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bcwt2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,457.61,,,,Travis,America/Chicago
Bucyrus,near,Sandusky River,BCYO1,River Stage/Flow Location,US04196000,40.803611,-83.005833,CLE,OHRFC,OH,Great Lakes Region,No,,7,8.5,10,11,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=bcyo1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,954.53,954.53,,,,,America/New_York
CR 725,at,Cypress Creek (E TX),BCYT2,River Stage/Flow Location,,30.475300,-93.9392,LCH,WGRFC,TX,Texas-Gulf Region,No,,1.88,3.8,0,17.76,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lch&gage=bcyt2,HGIRR,Yes,-9999 Feet,Data Point,No,No,Yes,LU Center for Resiliency,No,No,N/A,N/A,N/A,NAVD88,61.312,,,,,Jasper,America/Chicago
Blackwater/Calwy,,,BCYV2,Precipitation Location,,37.031557,-80.029133,RNK,SERFC,VA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=bcyv2,,Yes,0 Feet,No routine,No,No,Yes,"Commonwealth of Virginia, VDEM",No,No,N/A,N/A,N/A,,,,,,,Franklin,America/New_York
Bayou des Allemands at Des allemands,at,Barataria Bay and Waterway,BDAL1,River Stage/Flow Location,,29.823889,-90.476667,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=bdal1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U. S. Army Corps of Engineers,No,No,N/A,N/A,N/A,NGVD88,,,,,,Lafourche Parish,America/Chicago
Bandera,at,Medina River,BDAT2,River Stage/Flow Location,US08178880,29.723611,-99.069722,EWX,WGRFC,TX,Texas-Gulf Region,No,1189.46,10,13,14,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=bdat2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,1189.46,,1189.46,,,,America/Chicago
East Dilly Ave,at,Palmer (Bodenburg) Creek,BDBA2,River Stage/Flow Location,US15280999,61.523389,-149.041889,PAFC,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=bdba2,HGIRZ,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Matanuska-Susitna Borough,America/Anchorage
Bend Bridge,above,Sacramento River,BDBC1,River Stage/Flow Location,US11377100,40.288488,-122.186665,STO,CNRFC,CA,California Region,No,285.77 ft,22,27,29.5,31,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sto&gage=bdbc1,HGIRG,Yes,-9999 Feet,Year-round,No,No,No,US Geological Survey,No,Yes,Yes,No,No,NGVD29,285.77,,285.77 ft,,,Tehama,America/Los_Angeles
Hindman,,,BDBK2,Precipitation Location,,37.334920,-82.98003,JKL,OHRFC,KY,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=bdbk2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Knott,America/New_York
Bound Brook,at,Middle Brook,BDBN4,River Stage/Flow Location,US01403200,40.560556,-74.548056,PHI,MARFC,NJ,Mid Atlantic Region,No,,10,11,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=bdbn4,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,20.47,20.47,,,,Somerset,America/New_York
Dunbar,near,Black River,BDBS1,River Stage/Flow Location,,33.548500,-79.3603,ILM,SERFC,SC,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilm&gage=bdbs1,HGIRG,Yes,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Georgetown,America/New_York
Elwood,at,Big Duck Creek,BDCI3,River Stage/Flow Location,US033483827,40.281111,-85.842472,IND,OHRFC,IN,Ohio Region,No,,6,8,11,15,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=bdci3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,836.69,836.69,,,,Madison,America/New_York
Clinton,above,Bayou De Chien,BDCK2,River Stage/Flow Location,US07024000,36.628611,-88.963889,PAH,LMRFC,KY,Lower Mississippi Region,No,307.71,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pah&gage=bdck2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,307.71,,307.71,,,Hickman,America/Chicago
